no,title,short_description,wp,lead,type,dissemination_level,due_month,source
D1.1,"Innovative non-invasive methods to measure response diversity (RD)",Approaches for measuring organism responses to environmental changes,1,CarU,R,PU,36,B1 p30
D1.2,Experimental setups for exploring the mechanisms underlying RD,Designs and reproducible protocols for experiments from microcosms to field mesocosms,1,UH,R,PU,36,B1 p30
D1.3,A review of RD related policies and barriers to implementation,Systematic review of RD EU policy documents and agent-based models for policy implementation barriers,1,UZH,R,PU,28,B1 p30
D2.1,Model toolbox,Summary of models that can be used to study how RD affects stability,2,UNamur,R,PU,28,B1 p30
D2.2,Experimental setups for testing effects of RD on stability,Designs and reproducible protocols for experiments in various systems,2,Monash,R,PU,24,B1 p30
D2.3,RD for practical application and policies,Practical applications for ecosystem function restoration and socioecological sustainability,2,SwanU,R,PU,36,B1 p30
D3.1,Mechanisms driving RD in interaction networks,Summary of the role species interactions have for RD,3,LiU,R,PU,36,B1 p30
D3.2,Press and pulse effects on RD,Review of how RD varies across ecosystems under press and pulse disturbances,3,UOL,R,PU,36,B1 p30
D4.1,Training programme,Detailed training programme for all training activities,4,UH,R,PU,6,B1 p30
D4.2,Individual Research Plans,Individual Research Plans for all DCs collected in one document,4,LiU,R,PU,12,B1 p30
D4.3,Career Development Plans,Career Development Plans for all DCs,4,UH,R,PU,20,B1 p30
D4.4,Updated Career Development Plans,Updated Career Development Plans for all DCs,4,UH,R,PU,25,B1 p30
D4.5,Updated training programme,Updated detailed training programme,4,UH,R,PU,18,B1 p30
D5.1,Communication dissemination and exploitation plan,Communication dissemination and exploitation plan,5,LiU,R,PU,5,B1 p31
D5.2,Communication tool kit,Communication kit including brand logo templates and illustrations,5,LiU,ADM,PU,6,B1 p31
D5.3,"Updated C D and E plan",Updated communication dissemination and exploitation plan,5,LiU,R,PU,20,B1 p31
D5.4,Interactive visualisation tool,Digital tool for effective communication of RD,5,LiU,PDE,PU,36,B1 p31
D5.5,Policy briefs,A set of policy briefs written,5,UZH,PDE,PU,42,B1 p31
D6.1,Grant and Consortium Agreements signed,Grant and Consortium Agreements signed,6,LiU,ADM,CO,1,B1 p31
D6.2,Supervisory Board,Supervisory board composition and task description decided,6,LiU,ADM,PU,3,B1 p31
D6.3,Project Handbook,Project management handbook and management plan,6,LiU,R,PU,3,B1 p31
D6.4,Supervisory Board updated,One DC included in Supervisory Board,6,LiU,R,PU,6,B1 p31
D6.5,Data Management Plan,Project Data Management Plan,6,LiU,R,PU,12,B1 p31
D6.6,Plan for communication dissemination and exploitation,Plan for dissemination and exploitation of results including communication activities,6,LiU,R,SEN,18,B1 p31
D6.7,Updated Data Management Plan,Data Management Plan update,6,LiU,R,SEN,44,B1 p31
D6.8,Updated plan for communication dissemination and exploitation,Updated plan for dissemination and exploitation of results including communication activities,6,LiU,R,SEN,42,B1 p31
