no,title,related_wp,lead,due_month,means_of_verification,source
M1,Grant and Consortium Agreements signed,6,LiU,1,Grant Agreement and Consortium Agreement signed by partners; D6.1,B1 p31
M2,Webpage setup,5,LiU,2,Webpage,B1 p31
M3,External Advisory Board assigned,6,LiU,3,Minutes from election of External Advisory Board,B1 p31
M4,All Researchers recruited,6,LiU,6,Researcher declarations signed,B1 p31
M5,Introductory meeting completed,"4; 6",LiU,6,Participant list and minutes,B1 p31
M6,Machine learning pipeline developed for acoustic analysis,1,ESP,12,Open access code and machine-learning model finished,B1 p31
M7,First draft of model toolbox generated,"1; 2",UNamur,16,Will result in D2.1,B1 p31
M8,Critical RD policy gaps identified,2,UZH,20,DC presentations at OTS2 and OTS4,B1 p31
M9,Pre-development of non-invasive methods to measure RD,1,CarU,24,Data uploaded; will result in D1.1,B1 p31
M10,Series of algal bioassays and micro- and mesocosm experiments completed,"2; 3","UOL; Monash",26,Data uploaded; will result in D2.2 D3.1 and D3.2,B1 p31
M11,Series of greenhouse experiments completed,"2; 3","CSIC; UH",28,Data uploaded; will result in D2.2 D3.1 and D3.2,B1 p31
M12,Updated model toolbox,"1; 2",UNamur,24,R package code written and archived,B1 p31
M13,New EU RD policy documents drafted,"2; 5",UZH,34,Will result in D5.5,B1 p31
M14,All training schools completed,4,UH,36,Participant lists and minutes,B1 p31
M15,Open access repositories with protocols on field methods experiments and RD theory,"1; 5",CarU,36,Three repositories created and data uploaded,B1 p31
M16,Final meeting and Research Showcase,"5; 6",LiU,42,Participant list and minutes,B1 p31
M17,Theses completed for beneficiaries with three-year PhD programmes,5,LiU,42,List of theses,B1 p31
